Change,2016_to_2017,2017_to_2018,2018_to_2019,2019_to_2020,2020_to_2021,2021_to_2022,2022_to_2023
water_to_water,405.3411764705882,459.1098039215686,987.7686274509807,1316.8000000000002,1377.1803921568628,2216.4039215686275,2399.7607843137257
water_to_trees,36.34901960784314,26.0,49.0,144.10196078431375,11.0,36.0,610.278431372549
water_to_grass,0.0,0.0,0.0,3.0,31.0,0.0,6.219607843137255
water_to_flooded_vegetation,224.2313725490196,1.8352941176470587,1.4588235294117646,8.0,3.0,1.0,403.5803921568627
water_to_crops,10.611764705882353,7.0,22.0,94.0,0.0,0.0,43.0
water_to_shrub_and_scrub,72.54901960784314,36.0,45.0,188.8627450980392,43.0,1.0,1009.8705882352938
water_to_built,0.0,0.0,2.0,0.0,0.0,0.0,0.0
water_to_bare_soil,4.376470588235294,1.0,24.0,1.0,0.0,0.0,4.2
water_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trees_to_water,11.0,113.99607843137257,178.44705882352943,22.88235294117647,352.04705882352937,475.4352941176471,0.0
trees_to_trees,5393.439215686275,7517.356862745099,8392.203921568629,21238.580392156866,45716.32156862745,134739.14117647056,50158.30980392157
trees_to_grass,0.0,0.0,1.0,0.0,10.0,31.0,0.0
trees_to_flooded_vegetation,44.356862745098034,23.572549019607845,52.392156862745104,0.0,180.156862745098,196.921568627451,0.0
trees_to_crops,132.57254901960783,40.0,258.8588235294118,120.0,78.0,97.86274509803921,104.83137254901962
trees_to_shrub_and_scrub,1057.3607843137256,7047.027450980392,777.0627450980392,10457.427450980393,4070.4352941176476,103683.21176470589,155007.15294117646
trees_to_built,0.0,1.0,3.0,0.0,49.0,1.0,69.74117647058824
trees_to_bare_soil,0.0,71.0,15.0,22.0,0.0,0.0,22.0
trees_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_water,0.0,0.0,0.0,0.0,3.0,0.0,1.0
grass_to_trees,0.0,0.0,0.0,3.5137254901960784,0.0,4.0,75.0
grass_to_grass,1560.0,1163.0,406.0,1982.313725490196,105119.81960784314,214694.85098039222,22456.682352941185
grass_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_crops,1516.0392156862745,3145.0,15238.733333333334,293.0,22529.85098039216,25658.615686274512,143540.09019607844
grass_to_shrub_and_scrub,916.0,44.0,0.0,953.5372549019608,26983.678431372547,65480.68235294118,43917.192156862744
grass_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grass_to_bare_soil,3134.0,569.0,0.0,91.0,13477.270588235295,9564.141176470588,87476.9725490196
grass_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_water,3.0,372.62745098039204,173.30980392156863,43.498039215686276,172.4313725490196,706.564705882353,0.0
flooded_vegetation_to_trees,6.184313725490196,27.85098039215686,11.145098039215686,120.69411764705885,2.0,19.0,213.30588235294118
flooded_vegetation_to_grass,0.0,0.0,0.0,0.0,0.0,6.0,0.0
flooded_vegetation_to_flooded_vegetation,549.9254901960784,494.121568627451,489.36470588235284,441.49411764705883,277.0901960784314,63.0,116.49803921568629
flooded_vegetation_to_crops,0.0,4.0,1.0,0.0,4.0,0.0,0.0
flooded_vegetation_to_shrub_and_scrub,71.4,155.27058823529413,3.0,166.23921568627452,0.0,12.0,234.8156862745098
flooded_vegetation_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flooded_vegetation_to_bare_soil,1.0,0.0,0.0,2.0,2.0,0.0,0.0
flooded_vegetation_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crops_to_water,1.0,21.933333333333334,56.92549019607843,11.0,28.0,22.12156862745098,0.0
crops_to_trees,46.0,111.0,276.0,591.5921568627451,1043.1215686274509,96.36470588235294,50.0
crops_to_grass,3193.0,14276.733333333334,937.0,164325.3176470588,197432.79607843136,47719.623529411765,744.0
crops_to_flooded_vegetation,0.0,0.0,0.0,5.027450980392157,3.0,13.0,0.0
crops_to_crops,699982.1098039218,654707.6470588237,693299.0980392158,420526.65882352955,86390.11764705885,49368.88235294116,74096.8156862745
crops_to_shrub_and_scrub,240922.14901960778,15599.050980392156,96897.25490196077,194821.1921568627,92652.99607843139,12189.58431372549,8301.588235294117
crops_to_built,10.0,17.0,16.0,27.0,122.0,0.0,5.0
crops_to_bare_soil,44765.19607843137,44313.93725490195,7181.599999999999,21759.9568627451,52859.22352941177,1296.1960784313724,9232.176470588236
crops_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shrub_and_scrub_to_water,94.60392156862744,142.1843137254902,358.3137254901961,35.0,316.7450980392157,1039.1999999999998,0.0
shrub_and_scrub_to_trees,9275.788235294118,1954.756862745098,22648.54117647059,28180.47843137255,192427.12941176468,70388.40784313726,3506.3176470588232
shrub_and_scrub_to_grass,3.0,4.0,151.05098039215684,756.4156862745099,10048.019607843136,20465.607843137255,7844.941176470588
shrub_and_scrub_to_flooded_vegetation,197.35686274509806,142.4078431372549,210.71372549019605,3.0,342.3176470588235,290.69803921568626,5.0
shrub_and_scrub_to_crops,8596.35294117647,115627.58431372549,21917.423529411764,6414.278431372549,1284.5607843137254,7948.180392156864,39630.56078431373
shrub_and_scrub_to_shrub_and_scrub,2006291.705882353,2150326.0549019612,2133800.741176471,2298844.1686274516,2343632.643137256,2389098.043137256,2504189.4196078447
shrub_and_scrub_to_built,248.0,185.0,303.0,84.4235294117647,763.6823529411765,248.58039215686273,212.13333333333333
shrub_and_scrub_to_bare_soil,4520.909803921569,119882.80392156864,5420.317647058823,4637.901960784315,4243.3372549019605,2864.223529411765,57022.156862745105
shrub_and_scrub_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,16.0,7.0
built_to_water,6.0,0.0,0.0,2.0,4.0,0.0,0.0
built_to_trees,1.0,0.0,0.0,8.0,1.0,58.12156862745098,6.0
built_to_grass,0.0,0.0,0.0,0.0,0.0,5.0,0.0
built_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
built_to_crops,7.0,3.0,20.0,4.0,0.0,17.0,0.0
built_to_shrub_and_scrub,61.0,148.0,45.0,180.0,55.0,216.0,363.3921568627451
built_to_built,1459.0,1605.0,1743.0,1873.0,1935.4235294117648,2573.98431372549,2454.1725490196077
built_to_bare_soil,1.0,6.0,0.0,0.0,0.0,0.0,0.0
built_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bare_soil_to_water,10.0,21.376470588235293,1.0,34.0,1.0,17.184313725490195,0.0
bare_soil_to_trees,55.192156862745094,41.0,484.0,169.0,24.0,21.0,0.0
bare_soil_to_grass,165.0,201.0,1828.313725490196,1046.5725490196078,2760.654901960784,14544.854901960785,62.0
bare_soil_to_flooded_vegetation,38.0,15.882352941176471,19.99607843137255,0.0,1.0,0.0,0.0
bare_soil_to_crops,18802.615686274512,25129.647058823528,71310.631372549,3079.3176470588232,419.2431372549021,9339.039215686274,6448.670588235294
bare_soil_to_shrub_and_scrub,138872.6274509804,11454.698039215687,107387.60784313724,47447.00784313725,24921.188235294117,41737.00784313725,4786.905882352941
bare_soil_to_built,45.0,0.0,0.0,11.0,0.0,0.0,0.0
bare_soil_to_bare_soil,54929.9568627451,70504.83529411766,54318.027450980386,15172.047058823531,13558.819607843136,18481.564705882352,20908.549019607843
bare_soil_to_snow_and_ice,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_trees,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_grass,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_flooded_vegetation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_crops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_shrub_and_scrub,0.0,0.0,0.0,0.0,0.0,0.0,16.0
snow_and_ice_to_built,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_bare_soil,12.0,1.0,0.0,0.0,0.0,0.0,0.0
snow_and_ice_to_snow_and_ice,1.0,0.0,0.0,0.0,0.0,0.0,0.0
